sample_index,characteristic_physical_gate_error_rate,surface_code_cycle_time,heuristic_surface_code_physical_threshold_order_of_magnitude,naive_serial_time_days,code_distance_d,approximate_data_plane_physical_qubits,logical_qubits_at_n,logical_failure_proxy_union_depth_phenomenological,magic_limited_runtime_multiplier,ecdlp_toffoli_gates_upper_bound
0,0.001001010624512917,1.0750068329943976,0.014224091933979983,0.0008709546100649054,19.0,1160000.0,1450.0,1.0323394846127983e-05,,70000000.0
1,0.0019069658923885208,1.2121252970633238,0.010691856944435783,0.0009820459582688967,21.0,1403600.0,1450.0,1.6768086736609248e-05,,70000000.0
2,0.0012620948924207131,1.6453945547095696,0.009087858362361829,0.001333074292010068,23.0,1670400.0,1450.0,1.1028830114353623e-05,,70000000.0
3,0.0019537292687729106,1.7266090396295812,0.016992290607742492,0.0013988730645147069,17.0,939600.0,1450.0,2.9634711397169625e-05,,70000000.0
4,0.0013380774158161968,1.463560058276173,0.019644439366134876,0.0011857546768441218,17.0,939600.0,1450.0,8.033620155693856e-06,,70000000.0
5,0.0014093542980313223,1.194782460775821,0.009632436026322288,0.0009679950492396699,21.0,1403600.0,1450.0,5.2840945218847165e-05,,70000000.0
6,0.0006014097485962099,1.7422006132773635,0.014545594808518815,0.001411505126497864,19.0,1160000.0,1450.0,8.255686450821651e-06,,70000000.0
7,0.0005155811251539856,1.6496429611314736,0.010195378633031164,0.0013365162879537401,21.0,1403600.0,1450.0,2.8289879270039522e-05,,70000000.0
8,0.0009823978217631407,1.5015511416688885,0.013935378054613711,0.0012165344897780348,19.0,1160000.0,1450.0,1.2673030846809816e-05,,70000000.0
9,0.0008317344610979615,1.0527046235922428,0.01367798143562709,0.0008528856904103819,19.0,1160000.0,1450.0,1.527031320428626e-05,,70000000.0
10,0.001520481716380354,1.2605569952724993,0.01989069583553779,0.0010212846026513304,17.0,939600.0,1450.0,7.18155114351611e-06,,70000000.0
11,0.0017781183067557738,1.3715512579213582,0.016731510763833005,0.0011112105098899895,17.0,939600.0,1450.0,3.406054791999704e-05,,70000000.0
12,0.001466786288587551,0.7893805956065316,0.016602164223987345,0.0006395444640330696,17.0,939600.0,1450.0,3.652461906655783e-05,,70000000.0
13,0.0010764254902422795,1.1582419593208855,0.019353528577169578,0.0009383904763016432,17.0,939600.0,1450.0,9.188119217406845e-06,,70000000.0
14,0.00168504422062688,0.6676381910200387,0.008581510634379454,0.0005409105714282721,23.0,1670400.0,1450.0,2.1943358792630365e-05,,70000000.0
15,0.0017589008596292682,0.5296507275385257,0.019506426596197234,0.0004291151727742685,17.0,939600.0,1450.0,8.559897892517728e-06,,70000000.0
16,0.0008431063675173354,0.8265959923230037,0.011270243944170592,0.0006696958271135446,21.0,1403600.0,1450.0,9.392940331340606e-06,,70000000.0
17,0.0014766540402074287,1.7316456622596608,0.0180826876982035,0.0014029536615529658,17.0,939600.0,1450.0,1.693172508845324e-05,,70000000.0
18,0.0007252176861496004,1.2450209715777378,0.011650935641377126,0.0010086975464171487,21.0,1403600.0,1450.0,6.5177726635765e-06,,70000000.0
19,0.0005255323750185323,0.8987378354840263,0.01861005426119242,0.0007281440796745583,17.0,939600.0,1450.0,1.3071917243385975e-05,,70000000.0
20,0.0016934572084796088,1.5096669272073053,0.014902022483892885,0.0012231097789874002,19.0,1160000.0,1450.0,6.4806102174115195e-06,,70000000.0
21,0.0006154551519225478,1.764232939872686,0.011002032653475522,0.0014293553911005558,21.0,1403600.0,1450.0,1.2242378963316229e-05,,70000000.0
22,0.00081982062236007,0.6060177461542292,0.015984627383303862,0.0004909865998934728,17.0,939600.0,1450.0,5.1374237858532634e-05,,70000000.0
23,0.0014453771347511647,1.0803432789814111,0.01994087452131586,0.0008752781195451247,17.0,939600.0,1450.0,7.020535474361655e-06,,70000000.0
24,0.0018974513435366098,0.5732092228092052,0.00757843446616731,0.000464405620331532,25.0,1960400.0,1450.0,1.2868696297712482e-05,,70000000.0
25,0.0017206400736766608,1.0162394321386645,0.018443920364883678,0.0008233421325197514,17.0,939600.0,1450.0,1.4170621520321201e-05,,70000000.0
26,0.0008531142967457123,1.940145374652875,0.011565456428594191,0.00157187703964932,21.0,1403600.0,1450.0,7.067690116847691e-06,,70000000.0
27,0.001332499308713819,0.5176247025779014,0.00969876080699374,0.00041937186551450347,21.0,1403600.0,1450.0,4.8999235895089584e-05,,70000000.0
28,0.0005433592478720817,0.7148881599143291,0.007756567490304465,0.000579191796226887,25.0,1960400.0,1450.0,9.514009061557457e-06,,70000000.0
29,0.0019621220879953703,1.888995205117719,0.005526528501299025,0.0015304359300722262,29.0,2610000.0,1450.0,2.5543584008813886e-05,,70000000.0
30,0.0007786428675933859,1.1159466573115566,0.007375209413346493,0.0009041234492107519,25.0,1960400.0,1450.0,1.832320382691259e-05,,70000000.0
31,0.001419229771864475,1.4391347340567988,0.0051274598728434624,0.00116596564101824,31.0,2969600.0,1450.0,1.5333161840279e-05,,70000000.0
32,0.0005957517357376719,0.8762584185752585,0.017795543562041816,0.0007099315891234733,17.0,939600.0,1450.0,1.9555400838449145e-05,,70000000.0
33,0.0007756094423896647,0.7408589965353417,0.005961447588073331,0.0006002329833040963,27.0,2273600.0,1450.0,4.8881421093810397e-05,,70000000.0
34,0.0016547354057977557,0.913310740622432,0.01565192588191231,0.0007399508315228037,17.0,939600.0,1450.0,6.20808994147467e-05,,70000000.0
35,0.0010198396793329604,0.760080104651378,0.009496862962865442,0.0006158056403425516,21.0,1403600.0,1450.0,6.175699561484478e-05,,70000000.0
36,0.0009604749083113747,0.857862610287871,0.01513069973583823,0.0006950275777795251,19.0,1160000.0,1450.0,5.565163335201037e-06,,70000000.0
37,0.0019676796081194974,1.104704317967008,0.017607642597908445,0.0008950150724269741,17.0,939600.0,1450.0,2.1515781038087558e-05,,70000000.0
38,0.0007457936066371342,0.9488771992931659,0.006620030871111264,0.0007687662494273335,27.0,2273600.0,1450.0,1.1272697131147642e-05,,70000000.0
39,0.001790907912988005,0.79987883263636,0.017883697650977075,0.0006480499801451991,17.0,939600.0,1450.0,1.8704761468453626e-05,,70000000.0
40,0.0017851040282398133,0.8332128350992605,0.015077792815716355,0.0006750566951035675,19.0,1160000.0,1450.0,5.763553524411299e-06,,70000000.0
41,0.0009537947059225781,1.9350592338114596,0.011963718172024967,0.0015677563236898401,19.0,1160000.0,1450.0,5.826480614288427e-05,,70000000.0
